Name,Team,Week,Season,Rec ,Rec_Tgt ,Rec_Yds ,Rec_Y/R ,Rec_TD ,KR_TD ,PR_TD ,FumL ,FanPts,FanPts_HalfPPR,FanPts_PPR
Anthony Gonzalez,IND ,6,2008,4,N/A ,33,8.3,0,0,0,0,3.3,5.3,7.3
Anthony Gonzalez,IND ,8,2008,4,N/A ,27,6.8,0,0,0,0,2.7,4.7,6.7
Anthony Gonzalez,IND ,10,2008,4,N/A ,26,6.5,0,0,0,0,2.6,4.6,6.6
Anthony Gonzalez,IND ,13,2008,2,N/A ,13,6.5,0,0,0,0,1.3,2.3,3.3
Anthony Gonzalez,IND,1,2010,1,N/A ,12,12,0,0,0,0,1.2,1.7,2.2
Anthony Gonzalez,IND ,17,2008,1,N/A ,12,12,0,0,0,0,1.2,1.7,2.2
Anthony Gonzalez,IND ,15,2008,1,N/A ,6,6,0,0,0,0,0.6,1.1,1.6
Antonio Brown,PIT,8,2014,10,13,133,13.3,2,0,0,0,25.3,30.3,35.3
Antonio Brown,PIT,4,2014,7,11,131,18.7,2,0,0,0,25.1,28.6,32.1
Antonio Brown,PIT,17,2014,7,13,128,18.3,1,0,1,0,24.8,28.3,31.8
Antonio Brown,PIT,13,2014,8,12,97,12.1,2,0,0,0,21.7,25.7,29.7
Antonio Brown,PIT,3,2014,10,10,90,9,2,0,0,0,21,26,31
Antonio Brown,PIT,9,2014,11,16,144,13.1,1,0,0,0,20.4,25.9,31.4
Antonio Brown,PIT,1,2014,5,6,116,23.2,1,0,0,0,17.6,20.1,22.6
Antonio Brown,PIT,11,2014,9,11,91,10.1,1,0,0,0,15.1,19.6,24.1
Antonio Brown,PIT,16,2014,7,9,72,10.3,1,0,0,0,13.2,16.7,20.2
Antonio Brown,PIT,15,2014,10,10,123,12.3,0,0,0,0,12.3,17.3,22.3
Antonio Brown,PIT,6,2014,7,10,118,16.9,0,0,0,0,11.8,15.3,18.8
Antonio Brown,PIT,14,2014,9,14,117,13,0,0,0,0,11.7,16.2,20.7
Antonio Brown,PIT,7,2014,9,13,90,10,0,0,0,0,9,13.5,18
Antonio Brown,PIT,2,2014,7,12,90,12.9,0,0,0,0,9,12.5,16
Antonio Brown,PIT,5,2014,5,12,84,16.8,0,0,0,0,8.4,10.9,13.4
Antonio Brown,PIT,10,2014,8,9,74,9.3,0,0,0,2,3.4,7.4,11.4
Antonio Brown,PIT,3,2013,9,13,196,21.8,2,0,0,0,31.6,36.1,40.6
Antonio Brown,PIT,11,2013,7,13,147,21,2,0,0,0,26.7,30.2,33.7
Antonio Brown,PIT,14,2011,5,N/A ,151,30.2,1,0,0,0,21.1,23.6,26.1
Antonio Brown,PIT,14,2013,5,9,138,27.6,1,0,0,0,19.8,22.3,24.8
Antonio Brown,PIT,15,2013,5,6,66,13.2,1,0,1,0,18.6,21.1,23.6
Antonio Brown,PIT,16,2012,5,6,97,19.4,1,0,0,0,15.7,18.2,20.7
Antonio Brown,PIT,12,2013,6,10,92,15.3,1,0,0,0,15.2,18.2,21.2
Antonio Brown,PIT,9,2013,5,9,71,14.2,1,0,0,0,13.1,15.6,18.1
Antonio Brown,PIT,3,2012,7,11,87,12.4,1,0,0,1,12.7,16.2,19.7
Antonio Brown,PIT,13,2011,2,N/A ,67,33.5,0,0,1,0,12.7,13.7,14.7
Antonio Brown,PIT,8,2011,9,N/A ,67,7.4,1,0,0,0,12.7,17.2,21.7
Antonio Brown,PIT,15,2012,8,12,76,9.5,1,0,0,1,11.6,15.6,19.6
Antonio Brown,PIT,9,2011,5,N/A ,109,21.8,0,0,0,0,10.9,13.4,15.9
Antonio Brown,PIT,16,2013,6,13,105,17.5,0,0,0,0,10.5,13.5,16.5
Antonio Brown,PIT,10,2013,6,11,104,17.3,0,0,0,0,10.4,13.4,16.4
Antonio Brown,PIT,7,2011,7,N/A ,102,14.6,0,0,0,0,10.2,13.7,17.2
Antonio Brown,PIT,7,2012,7,8,96,13.7,0,0,0,0,9.6,13.1,16.6
Antonio Brown,PIT,14,2012,4,9,35,8.8,1,0,0,0,9.5,11.5,13.5
